Image_name,Paragraph,train,test,val
p_1,"The wooden temple with a pagoda roof and colorful prayer flags in Nepal, Kathmandu. The temple has intricate carvings and decorations on its walls and pillars. The temple is located in a busy area with other buildings and structures nearby.  people are walking around the temple, wearing black cloth and holding mobile phone.",TRUE,FALSE,FALSE
p_2, It is the temple in Nepal with ornate pillars and statues. The temple is made of wood and has a red roof. The  stone pillars have golden statues resembling animals on top. The temple is located in a courtyard with a stone floor. The temple background has trees.,TRUE,FALSE,FALSE
p_3,"Traditional Nepali temple having white color on the wall, with a serene pond and bridge in the foreground. People gather around the pond, standing on the stairs  and ascend the steps towards the temple. The clear blue sky enhances the beauty of the scene.",TRUE,FALSE,FALSE
p_4,"It an image of a temple complex in Nepal, with a stone bridge connecting two parts of the complex. The temple buildings have red walls and domed roofs, and some of them have golden spires. There are people walking on the bridge and around the temple area, wearing colorful clothes. The sky is clear and blue, and there are green trees in the background",TRUE,FALSE,FALSE
p_5,"This is an image of a busy square in Kathmandu, Nepal, where pigeons and people mingle. The square is surrounded by traditional Nepali buildings with red brick and carved wooden windows. There is a large tree with a temple-like structure on top, adding to the cultural and religious significance of the place. The sky is clear and blue, and the weather is warm and sunny.",TRUE,FALSE,FALSE
p_6,"A group of people are standing on a sidewalk and sitting on stone-made stairs. In front of the stairs, shops and stalls are lined up. Dominating the background is a majestic white temple, crowned with a golden dome. Above, the sky is a clear blue, dotted with a few clouds.",TRUE,FALSE,FALSE
p_7,"People are seen walking towards Pashupatinath temple entrance  , which is a tall archway with a roof and a green carpet leading up to it. The archway is adorned with colorful designs and patterns. The temple itself is white with a gold roof, nestled among other buildings. The sky above is a clear blue, indicating that the photo was taken during the day",TRUE,FALSE,FALSE
p_8,"This is the image of  ornate temple gate of pashupatinath. The gate is golden in color which have white with a gold roof, adorned with intricate designs and patterns in blue and green. It is flanked by two buildings, one white and one red, adding to the vibrant scene.People are standing infornt of gate.",TRUE,FALSE,FALSE
p_9,"it presents a captivating view of a temple complex in Nepal. The complex is composed of multiple buildings, each showcasing the traditional Nepali architecture. The buildings are painted in hues of red and white, with roofs adorned with gold accents, reflecting the rich cultural heritage. People can be seen walking around the complex, adding a lively atmosphere to the serene surroundings",TRUE,FALSE,FALSE
p_10,"Depicts a beautiful and ancient temple .The complex features has many white stupas and a golden temple, standing out against the lush green surroundings. The temple complex is situated on a hill, with a river flowing gently below. It  also has a big golden temple in the background.The complex is surrounded by an array of trees and houses, adding to the picturesque setting. ",TRUE,FALSE,FALSE
