छवि_नाम, अनुच्छेद, ट्रेन, परीक्षण, val,,,,,,,,,
 p_1," नेपाल, काठमाडौंमा प्यागोडाको छाना र रंगीन प्रार्थना झण्डासहितको काठको मन्दिर। मन्दिरको भित्ता र स्तम्भहरूमा जटिल नक्काशी र सजावट छ। मन्दिर नजिकै अन्य भवन र संरचनाहरु संग एक व्यस्त क्षेत्र मा स्थित छ। मानिसहरु कालो कपडा लगाएर मोबाइल फोन लिएर मन्दिरमा घुमिरहेका छन् ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_2, यो नेपालको मन्दिर हो जसमा अलंकृत स्तम्भ र मूर्तिहरू छन्। मन्दिर काठले बनेको छ र रातो छाना छ। ढुङ्गाका स्तम्भहरूमा माथि जनावरहरू जस्तै सुनको मूर्तिहरू छन्। मन्दिर ढुङ्गाको भुइँ भएको आँगनमा अवस्थित छ। मन्दिरको पृष्ठभूमिमा रूखहरू छन्।,TRUE,FALSE,FALSE,,,,,,,,,
 p_3," पर्खालमा सेतो रङको परम्परागत नेपाली मन्दिर, अग्रभूमिमा शान्त पोखरी र पुल। मानिसहरू पोखरीको वरिपरि भेला हुन्छन्, सिँढीहरूमा उभिएर मन्दिरतिर पाइलाहरू चढ्छन्। सफा नीलो आकाशले दृश्यको सौन्दर्य बढाउँछ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_4,"यो कम्प्लेक्सको दुई भाग जोड्ने ढुङ्गाको पुल भएको नेपालको मन्दिर परिसरको छवि हो। मन्दिरका भवनहरूमा रातो पर्खालहरू र गुम्बजको छानाहरू छन्, र तिनीहरूमध्ये केहीमा सुनको टुक्राहरू छन्। पुलमा र मन्दिरको वरिपरि मानिसहरु रंगीन लुगा लगाएर हिँड्ने गर्छन् । आकाश सफा र निलो छ, र पृष्ठभूमिमा हरियो रूखहरू छन्",TRUE,FALSE,FALSE,,,,,,,,,
 p_5," यो काठमाडौं, नेपालको व्यस्त स्क्वायरको तस्बिर हो, जहाँ परेवा र मान्छेहरू मिल्छन्। यो स्क्वायर रातो इट्टा र नक्काशीदार काठका झ्यालहरूले पारम्परिक नेपाली भवनहरूले घेरिएको छ। माथि मन्दिरजस्तो संरचना भएको ठूलो रुख छ, जसले यस ठाउँको सांस्कृतिक र धार्मिक महत्वलाई थपेको छ। आकाश सफा र निलो छ, र मौसम तातो र घमाइलो छ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_6,"मानिसहरुको एक समूह फुटपाथमा उभिएर ढुङ्गाले बनाएको सिँढीमा बसिरहेका छन् । सिँढीको अगाडि पसल र स्टलहरू लाइनमा छन्। पृष्ठभूमिमा प्रभुत्व जमाउने एक राजसी सेतो मन्दिर हो, सुनको गुम्बजले मुकुट लगाएको। माथि, आकाश सफा नीलो छ, केही बादलहरूले भरिएको छ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_7," मानिसहरु पशुपतिनाथ मन्दिर प्रवेशद्वार तर्फ हिंडिरहेका देखिन्छन्, जुन छाना र हरियो गलैंचा संग अग्लो आर्चवे हो। आर्कवे रंगीन डिजाइन र ढाँचा संग सजिएको छ। मन्दिर आफैंमा सुनको छानासहित सेतो छ, अन्य भवनहरू बीचमा छ। माथिको आकाश सफा नीलो छ, जसले फोटो दिनको समयमा लिइएको हो भनेर संकेत गर्दछ",TRUE,FALSE,FALSE,,,,,,,,,
 p_8," यो पशुपतिनाथ मन्दिरको सुशोभित द्वारको छवि हो। गेट सुनौलो रंगको छ जसमा सेतो सुनको छाना छ, जटिल डिजाइन र ढाँचाले निलो र हरियो रंगमा सजिएको छ। एउटा सेतो र एउटा रातो रङ्गका दुईवटा भवनले छेउछाउमा रहेको यो जीवन्त दृश्यलाई थपिएको छ। मानिसहरू गेटको अगाडि उभिरहेका छन्।",TRUE,FALSE,FALSE,,,,,,,,,
 p_9,"यसले नेपालको मन्दिर परिसरको मनमोहक दृश्य प्रस्तुत गर्दछ। कम्प्लेक्स धेरै भवनहरू मिलेर बनेको छ, प्रत्येकले परम्परागत नेपाली वास्तुकलाको प्रदर्शन गर्दछ। भवनहरू रातो र सेतो रङहरूमा रंगिएका छन्, छानाहरू सुनको उच्चारणले सजिएका छन्, जसले समृद्ध सांस्कृतिक सम्पदा झल्काउँछ। शान्त वातावरणमा जीवन्त वातावरण थप्दै कम्प्लेक्सको वरिपरि मानिसहरू हिंडिरहेको देख्न सकिन्छ",TRUE,FALSE,FALSE,,,,,,,,,
 p_10," एउटा सुन्दर र पुरानो मन्दिर चित्रण गर्दछ। जटिल सुविधाहरूमा धेरै सेतो स्तूपहरू र सुनौलो मन्दिरहरू छन्, हरियो परिवेशको बिरूद्ध उभिएको छ। मन्दिर परिसर पहाडमा अवस्थित छ, तल बिस्तारै नदी बगिरहेको छ। यसको पृष्ठभूमिमा एउटा ठूलो सुनको मन्दिर पनि छ। यो कम्प्लेक्स रूखहरू र घरहरूको एरेले घेरिएको छ, रमणीय सेटिंगमा थपिएको छ।",TRUE,FALSE,FALSE,,,,,,,,,
